"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2016","46.69","47.42","47.66","46.47","4.50M","-1.19%"
"Dec 29, 2016","47.25","47.80","48.00","46.96","3.71M","-0.88%"
"Dec 28, 2016","47.67","48.73","48.83","47.61","4.15M","-1.93%"
"Dec 27, 2016","48.61","48.29","48.92","48.14","2.80M","0.27%"
"Dec 23, 2016","48.48","48.61","48.84","48.28","2.92M","-0.43%"
"Dec 22, 2016","48.69","49.35","49.45","48.46","3.62M","-1.58%"
"Dec 21, 2016","49.47","49.34","49.90","49.23","3.83M","0.51%"
"Dec 20, 2016","49.22","48.50","49.50","48.50","4.81M","1.32%"
"Dec 19, 2016","48.58","47.89","48.60","47.74","4.73M","1.99%"
"Dec 16, 2016","47.63","48.61","49.07","47.56","9.30M","-1.39%"
"Dec 15, 2016","48.30","48.10","49.95","48.10","7.53M","0.79%"
"Dec 14, 2016","47.92","47.84","48.75","47.80","5.29M","0.17%"
"Dec 13, 2016","47.84","47.94","48.49","47.71","6.15M","0.53%"
"Dec 12, 2016","47.59","49.16","49.34","47.44","8.64M","-4.13%"
"Dec 09, 2016","49.64","49.27","50.64","48.74","9.85M","3.31%"
"Dec 08, 2016","48.05","48.60","48.60","47.70","6.24M","-1.23%"
"Dec 07, 2016","48.65","46.61","48.94","46.52","10.21M","4.78%"
"Dec 06, 2016","46.43","46.16","46.55","45.92","5.33M","1.55%"
"Dec 05, 2016","45.72","46.45","46.54","45.58","5.26M","-0.82%"
"Dec 02, 2016","46.10","46.09","46.86","45.91","6.51M","0.77%"
"Dec 01, 2016","45.75","46.20","47.09","45.66","7.44M","-1.49%"
"Nov 30, 2016","46.44","46.14","46.86","45.42","7.90M","-0.96%"
"Nov 29, 2016","46.89","46.59","47.14","46.17","4.89M","0.84%"
"Nov 28, 2016","46.50","46.64","46.88","45.66","7.37M","-0.68%"
"Nov 25, 2016","46.82","46.34","46.86","46.30","2.43M","1.04%"
"Nov 23, 2016","46.34","46.05","46.39","45.70","5.16M","0.56%"
"Nov 22, 2016","46.08","46.03","46.95","45.95","5.78M","0.00%"
"Nov 21, 2016","46.08","46.46","46.75","45.95","6.65M","-0.39%"
"Nov 18, 2016","46.26","46.15","46.49","45.62","7.80M","0.94%"
"Nov 17, 2016","45.83","44.39","45.85","44.05","8.56M","3.10%"
"Nov 16, 2016","44.45","44.66","44.80","43.93","6.17M","-0.69%"
"Nov 15, 2016","44.76","45.00","45.28","43.59","13.17M","3.13%"
"Nov 14, 2016","43.40","43.01","43.61","42.98","7.77M","1.09%"
"Nov 11, 2016","42.93","42.07","42.95","41.68","6.62M","1.49%"
"Nov 10, 2016","42.30","42.71","43.39","42.15","8.67M","-0.26%"
"Nov 09, 2016","42.41","40.76","42.75","40.44","8.39M","1.70%"
"Nov 08, 2016","41.70","41.42","41.85","41.02","5.73M","0.51%"
"Nov 07, 2016","41.49","40.39","41.65","40.31","8.33M","4.40%"
"Nov 04, 2016","39.74","39.27","40.22","39.24","6.72M","0.91%"
"Nov 03, 2016","39.38","39.78","40.24","39.30","6.01M","-0.83%"
"Nov 02, 2016","39.71","39.72","40.25","39.62","5.27M","-0.23%"
"Nov 01, 2016","39.80","40.51","40.85","39.56","9.03M","-1.97%"
"Oct 31, 2016","40.60","40.31","40.81","40.08","5.96M","1.35%"
"Oct 28, 2016","40.06","39.85","40.57","39.80","6.71M","0.38%"
"Oct 27, 2016","39.91","39.45","40.18","39.26","6.54M","1.50%"
"Oct 26, 2016","39.32","38.57","40.26","38.21","10.11M","-0.93%"
"Oct 25, 2016","39.69","39.66","40.43","39.36","6.02M","-0.35%"
"Oct 24, 2016","39.83","40.25","40.55","39.77","6.47M","-0.18%"
"Oct 21, 2016","39.90","39.97","40.24","39.65","9.98M","-1.70%"
"Oct 20, 2016","40.59","40.93","40.93","39.41","14.70M","-0.10%"
"Oct 19, 2016","40.63","39.48","40.81","39.40","12.76M","3.25%"
"Oct 18, 2016","39.35","38.84","39.89","38.84","10.54M","2.00%"
"Oct 17, 2016","38.58","38.66","39.73","38.37","5.60M","-0.18%"
